login_count,activity_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count,dropout
66.0,548,427.0,999,0.0,0,0,1.0,0,1
2.0,4,2.0,999,0.0,0,0,0.0,0,1
2.0,5,3.0,999,0.0,0,0,0.0,0,1
2.0,4,1.0,1762,0.0,0,0,0.0,0,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.92308,0,1
2.0,4,2.0,999,0.0,0,0,0.0,0,1
1.0,5,2.0,999,0.0,0,0,0.0,0,1
3780.0,5653,1873.0,999,0.0,0,0,0.0,0,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
16.0,236,193.0,1580,0.0,1,0,1.0,1,0
1.0,10,7.0,999,0.0,0,0,0.0,0,1
1.0,6,2.0,999,0.0,0,0,0.0,0,1
1.0,4,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
2.0,43,34.0,1298,18.0,0,0,0.0,1,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
3.0,12,6.0,999,0.0,0,0,1.0,0,1
78.0,655,556.0,1396,5.0,8,0,1.0,2,0
1.0,10,5.0,999,0.0,0,0,0.0,0,1
3.0,22,17.0,999,0.0,0,0,0.0,0,1
1.0,6,2.0,999,0.0,0,0,0.0,0,1
290.0,723,422.0,917,0.0,6,0,1.0,0,0
1.0,5,3.0,1719,0.0,0,0,0.0,0,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
1.0,6,4.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
13.0,150,122.0,1928,0.0,0,0,1.0,0,1
2.0,15,8.0,1714,0.0,0,0,0.0,0,1
43.0,271,205.0,999,0.0,0,0,0.0,0,1
1.0,3,1.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
3.0,37,32.0,500,0.0,0,0,0.0,0,1
43.0,436,359.0,1810,0.0,0,0,0.42857,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,3,1.0,999,0.0,0,0,0.0,0,1
2.0,14,5.0,999,0.0,0,0,0.0,0,1
10.0,19,4.0,999,0.0,0,0,0.0,0,1
23.0,49,9.0,999,0.0,0,0,0.0,0,1
1.0,18,12.0,999,0.0,0,0,0.0,0,1
2.0,4,2.0,999,0.0,0,0,0.0,0,1
1.0,10,6.0,999,0.0,0,0,0.0,0,1
2.0,5,2.0,999,0.0,0,0,0.0,0,1
64.0,601,503.0,1559,0.0,1,0,1.0,1,0
26.0,225,174.0,999,0.0,0,0,0.0,0,1
1.0,7,6.0,1935,0.0,0,0,0.0,0,1
1.0,4,3.0,1936,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
19.0,219,176.0,1936,0.0,2,0,1.0,0,0
1.0,11,8.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
27.0,281,225.0,999,0.0,2,0,1.0,0,0
40.0,431,364.0,503,0.0,0,0,0.0,0,1
26.0,397,345.0,999,0.0,2,0,1.0,0,0
37.0,262,198.0,659,0.0,0,0,0.0,0,1
55.0,446,371.0,1770,0.0,0,0,0.0,0,1
6.0,24,17.0,999,0.0,0,0,0.0,0,1
1.0,5,4.0,999,0.0,0,0,0.0,0,1
3.0,10,4.0,1736,8.25,0,0,0.0,3,1
6.0,14,4.0,999,0.0,0,0,0.0,0,1
1.0,6,5.0,999,0.0,0,0,0.0,0,1
36.0,457,390.0,859,0.0,2,0,0.8,0,0
1.0,7,3.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
2.0,23,20.0,1576,0.0,0,0,0.0,0,1
31.0,411,352.0,113,17.3125,2,0,1.0,6,0
1174.0,1874,696.0,1711,0.0,0,0,0.0,0,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
129.0,1088,910.0,1565,28.190568571,1,0,0.5,11,0
1.0,5,2.0,999,0.0,0,0,0.0,0,1
1.0,31,24.0,1298,18.33333,0,0,0.0,1,1
1.0,5,2.0,999,0.0,0,0,0.0,0,1
1.0,15,13.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
3.0,13,10.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
1.0,3,1.0,999,0.0,0,0,0.0,0,1
46.0,761,671.0,886,15.33333,1,0,0.4,1,0
1.0,6,3.0,999,0.0,0,0,0.0,0,1
1.0,8,7.0,999,0.0,0,0,0.0,0,1
1.0,8,4.0,999,0.0,0,0,0.0,0,1
1.0,4,2.0,999,0.0,0,0,0.0,0,1
1.0,11,10.0,999,0.0,0,0,0.0,0,1
2.0,11,9.0,999,0.0,0,0,0.0,0,1
42.0,411,351.0,1775,0.0,0,0,0.0,0,1
1.0,1,0.0,999,0.0,0,0,0.0,0,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
112.0,174,35.0,999,0.0,0,0,0.0,0,1
3.0,16,11.0,999,0.0,0,0,0.0,0,1
88.0,961,795.0,177,15.666666666,25,0,0.9,4,0
1.0,4,2.0,364,0.0,0,0,0.0,0,1
2.0,6,4.0,1786,0.0,0,0,0.0,0,1
1.0,4,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,1.0,0,1
1.0,7,5.0,999,0.0,0,0,0.0,0,1
1.0,12,10.0,999,0.0,0,0,0.0,0,1
5.0,304,286.0,1298,19.0,0,0,0.0,1,0
1.0,6,2.0,999,0.0,0,0,0.0,0,1
1.0,5,2.0,999,0.0,0,0,0.0,0,1
212.0,323,109.0,1713,0.0,0,0,0.0,0,1
5.0,13,8.0,1448,0.0,0,0,0.0,0,1
26.0,295,244.0,999,0.0,2,0,1.0,0,0
4.0,13,5.0,999,0.0,0,0,0.0,0,1
2.0,47,38.0,1298,20.0,0,0,1.0,1,0
1.0,4,3.0,999,0.0,0,0,0.0,0,1
3.0,12,6.0,999,0.0,0,0,0.0,0,1
2.0,10,7.0,1716,0.0,0,0,0.88889,0,1
5.0,15,6.0,999,0.0,0,0,0.5,3,1
6.0,19,11.0,285,0.0,0,0,0.0,0,1
2.0,16,13.0,999,0.0,0,0,0.0,0,1
2.0,8,6.0,1906,0.0,0,0,0.0,0,1
50.0,537,434.0,176,18.733333333,20,0,1.0,4,0
1.0,7,4.0,999,0.0,0,0,0.0,0,1
25.0,330,276.0,999,0.0,2,0,0.66667,0,0
1.0,4,1.0,999,0.0,0,0,0.0,0,1
1.0,12,6.0,1714,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
14.0,264,238.0,228,0.0,2,0,0.88889,1,0
2.0,7,5.0,1781,0.0,0,0,0.0,0,1
1.0,11,5.0,1712,0.0,0,0,0.0,0,1
1.0,19,17.0,999,0.0,0,0,0.0,0,1
2.0,17,15.0,1714,0.0,0,0,0.0,0,1
1.0,6,5.0,999,0.0,0,0,0.0,0,1
1.0,8,7.0,999,0.0,0,0,0.0,0,1
1.0,4,3.0,1714,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
2.0,27,23.0,1702,0.0,0,0,0.0,0,1
1.0,3,2.0,1896,0.0,0,0,0.0,0,1
2.0,5,2.0,999,0.0,0,0,0.0,0,1
1.0,4,2.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
4.0,26,16.0,581,0.0,0,0,0.0,0,1
3.0,15,11.0,999,0.0,0,0,0.0,0,1
28.0,345,303.0,1233,6.0,7,0,1.0,1,0
2.0,6,4.0,999,0.0,0,0,0.0,0,1
21.0,247,205.0,999,0.0,2,0,1.0,0,0
1.0,7,6.0,999,0.0,0,0,0.0,0,1
21.0,239,209.0,914,0.0,5,0,0.8,0,0
1.0,4,1.0,999,0.0,0,0,0.0,0,1
19.0,235,198.0,999,0.0,2,0,1.0,0,0
6.0,50,36.0,1703,0.0,0,0,0.0,0,1
5.0,16,9.0,999,0.0,0,0,0.0,0,1
16.0,223,192.0,918,0.0,2,0,0.5,0,0
28.0,220,182.0,1606,0.0,5,0,1.0,0,0
41.0,430,367.0,175,0.0,15,0,0.90909,0,0
42.0,328,265.0,999,0.0,0,0,0.0,0,1
2.0,14,8.0,1722,0.0,0,0,0.0,0,1
2.0,5,2.0,1876,0.0,0,0,1.0,0,1
44.0,324,270.0,1604,0.0,5,0,1.0,0,0
2.0,4,2.0,999,0.0,0,0,0.0,0,1
1.0,17,12.0,1721,0.0,0,0,0.0,0,1
4.0,33,26.0,1606,0.0,0,0,0.0,0,1
60.0,713,625.0,999,0.0,0,0,0.0,0,1
1.0,10,9.0,1573,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,1.0,0,1
1.0,4,3.0,1926,0.0,0,0,0.0,0,1
28.0,390,315.0,1457,6.0,10,0,1.0,2,0
2.0,34,32.0,36,0.0,0,0,0.0,0,1
1.0,3,2.0,1905,0.0,0,0,0.0,0,1
54.0,576,477.0,1517,0.0,1,0,1.0,1,0
7.0,75,59.0,999,0.0,2,0,1.0,0,0
25.0,276,246.0,913,0.0,2,0,0.66667,0,0
53.0,467,392.0,1580,0.0,0,0,1.0,0,1
1.0,4,1.0,999,0.0,0,0,0.0,0,1
47.0,426,364.0,1457,6.0,8,0,1.0,1,0
1.0,6,5.0,999,0.0,0,0,0.0,0,1
2.0,5,3.0,1877,0.0,0,0,0.0,0,1
3.0,16,11.0,858,0.0,0,0,1.0,0,1
2.0,10,8.0,1724,0.0,0,0,0.0,0,1
2.0,6,3.0,1898,0.0,0,0,0.0,0,1
157.0,1122,941.0,1509,2.0,0,0,1.0,3,0
1.0,2,1.0,999,0.0,0,0,0.0,0,1
32.0,404,350.0,999,0.0,0,0,0.0,0,1
2.0,14,4.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
1.0,9,4.0,1724,0.0,0,0,0.0,0,1
8.0,26,13.0,1788,0.0,0,0,0.66667,0,1
34.0,239,200.0,875,0.0,4,0,1.0,0,0
30.0,338,280.0,1457,7.0,10,0,1.0,3,0
108.0,892,726.0,63,8.31667,22,0,1.0,1,0
46.0,532,456.0,184,8.03333,18,0,1.0,1,0
9.0,169,145.0,1457,3.0,6,0,1.0,1,0
2.0,5,3.0,999,0.0,0,0,0.0,0,1
33.0,308,243.0,999,0.0,2,0,1.0,0,0
38.0,335,263.0,999,0.0,2,0,1.0,0,0
2.0,11,5.0,1722,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
3.0,17,10.0,999,0.0,0,0,0.0,0,1
1.0,19,12.0,1711,0.0,0,0,0.0,0,1
33.0,311,261.0,1457,5.0,9,0,1.0,1,0
1.0,7,4.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
2.0,8,5.0,1719,0.0,0,0,0.0,0,1
3.0,18,10.0,999,0.0,0,0,0.0,0,1
53.0,488,409.0,603,0.0,5,0,1.0,0,0
31.0,363,311.0,488,4.0,2,0,0.66667,2,0
1.0,3,2.0,999,0.0,0,0,0.0,0,1
1.0,6,3.0,999,0.0,0,0,0.0,0,1
56.0,741,663.0,1513,0.0,0,0,1.0,0,1
12.0,229,193.0,999,0.0,2,0,0.66667,0,0
7.0,259,216.0,1517,0.0,2,0,1.0,2,0
32.0,401,323.0,1476,0.0,2,0,1.0,2,0
38.0,332,284.0,1606,0.0,5,0,1.0,0,0
22.0,223,172.0,1606,0.0,4,0,1.0,0,0
1.0,13,11.0,999,0.0,0,0,0.0,0,1
3.0,29,19.0,1731,0.0,0,0,0.0,0,1
142.0,1417,1214.0,176,8.8,13,0,0.13043,1,0
1.0,2,1.0,1779,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
28.0,333,256.0,999,0.0,2,0,1.0,1,0
37.0,355,294.0,999,0.0,0,0,0.0,0,1
36.0,321,259.0,911,0.0,8,0,1.0,0,0
14.0,204,170.0,999,0.0,0,0,0.0,0,1
3.0,17,14.0,1751,0.0,0,0,1.0,0,1
