userid,activity_count,login_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count
46958,77,3.0,64.0,1298,8.416665,0,0,1.0,2
46959,502,53.0,427.0,167,7.894443333,7,0,1.0,3
46961,109,2.0,94.0,1298,11.5,0,0,1.0,3
46962,84,6.0,65.0,1298,8.733332,0,0,1.0,3
46963,106,7.0,84.0,1298,15.07936,0,0,1.0,2
46964,90,8.0,70.0,1281,10.583335,0,0,0.0,2
46965,95,6.0,73.0,1243,11.166665,0,0,1.0,3
46966,83,5.0,69.0,1255,12.66667,0,0,0.0,1
46967,124,5.0,100.0,1298,9.25,0,0,1.0,3
46968,81,3.0,67.0,1298,8.416665,0,0,0.0,2
46969,9,1.0,4.0,1303,2.5,0,0,0.0,1
46970,28,2.0,21.0,1298,3.0,0,0,0.0,1
46971,34,1.0,27.0,1298,13.0,0,0,0.0,1
46973,159,25.0,122.0,1298,9.083335,0,0,1.0,2
46974,73,3.0,60.0,1298,6.416665,0,0,0.66667,2
46975,66,3.0,51.0,1298,6.083335,0,0,0.0,2
46976,50,2.0,38.0,1298,10.291665,0,0,0.0,2
46977,104,2.0,91.0,1298,6.625,0,0,0.0,2
46978,58,2.0,46.0,1298,8.916665,0,0,0.0,2
46979,87,6.0,66.0,1298,10.8,0,0,1.0,3
46980,111,6.0,93.0,1298,7.791665,0,0,0.0,2
46981,71,5.0,55.0,1296,9.416665,0,0,0.0,2
46982,105,4.0,90.0,1296,9.25,0,0,1.0,2
46983,52,2.0,39.0,1298,7.458335,0,0,1.0,2
46984,48,4.0,25.0,1298,1.75,0,0,0.0,2
46985,226,15.0,199.0,1242,6.75,0,0,0.0,2
46986,95,1.0,82.0,1298,3.75,0,0,1.0,2
46987,88,7.0,68.0,1294,6.125,0,0,0.0,2
46988,132,7.0,112.0,1266,5.458335,0,0,0.0,2
46989,244,6.0,210.0,1217,9.361904,0,0,1.0,4
46990,65,3.0,46.0,1298,5.0,0,0,1.0,5
46991,84,4.0,68.0,1297,7.083335,0,0,1.0,2
46992,80,1.0,72.0,1298,10.33333,0,0,0.0,1
46993,82,6.0,65.0,1244,8.916665,0,0,0.0,3
46994,53,2.0,43.0,1298,14.33333,0,0,1.0,1
46995,104,5.0,88.0,1298,9.416665,0,0,1.0,2
46996,130,4.0,114.0,1292,7.583335,0,0,1.0,3
46997,168,10.0,136.0,1297,10.208335,0,0,0.5,4
46998,81,2.0,72.0,1298,6.083335,0,0,0.0,2
46999,124,5.0,103.0,1298,9.166665,0,0,1.0,4
47000,90,3.0,76.0,1298,5.75,0,0,0.0,2
47001,129,7.0,107.0,1298,5.125,0,0,1.0,2
47002,182,11.0,157.0,39,7.916665,3,0,0.8,2
47003,130,5.0,109.0,1298,11.208335,0,0,0.0,2
47004,55,1.0,48.0,1298,10.33333,0,0,1.0,1
